iter	Passed	Remaining
883	7895	81415
884	7904	81415
885	7915	81422
886	7924	81416
887	7934	81414
888	7944	81415
889	7953	81413
890	7965	81430
891	7976	81447
892	7987	81458
893	7999	81479
894	8010	81490
895	8023	81520
896	8034	81531
897	8045	81551
898	8056	81558
899	8068	81577
900	8079	81588
901	8088	81583
902	8098	81589
903	8109	81596
904	8120	81613
905	8131	81621
906	8141	81622
907	8150	81611
908	8159	81607
909	8169	81602
910	8178	81595
911	8187	81590
912	8196	81580
913	8203	81551
914	8212	81544
915	8221	81529
916	8229	81517
917	8238	81501
918	8246	81488
919	8255	81475
920	8263	81461
921	8271	81443
922	8279	81425
923	8288	81415
924	8298	81415
925	8308	81413
926	8316	81393
927	8324	81378
928	8332	81358
929	8341	81348
930	8349	81330
931	8357	81316
932	8365	81296
933	8374	81289
934	8383	81274
935	8391	81258
936	8399	81245
937	8408	81229
938	8416	81213
939	8425	81207
940	8433	81191
941	8442	81183
942	8451	81169
943	8459	81152
944	8467	81131
945	8475	81113
946	8483	81099
947	8492	81090
948	8500	81071
949	8508	81058
950	8516	81035
951	8524	81017
952	8532	80996
953	8540	80984
954	8548	80966
955	8556	80948
956	8565	80936
957	8573	80921
958	8581	80905
959	8589	80888
960	8597	80869
961	8606	80855
962	8613	80835
963	8623	80828
964	8632	80823
965	8641	80810
966	8650	80807
967	8659	80793
968	8668	80787
969	8677	80778
970	8686	80773
971	8695	80763
972	8705	80765
973	8714	80757
974	8723	80752
975	8733	80749
976	8742	80745
977	8751	80736
978	8760	80727
979	8771	80738
980	8785	80774
981	8795	80770
982	8822	80931
983	8838	80981
984	8851	81007
985	8862	81024
986	8875	81044
987	8886	81058
988	8896	81061
989	8911	81101
990	8923	81121
991	8934	81127
992	8943	81121
993	8953	81119
994	8962	81113
995	8972	81108
996	8981	81107
997	8990	81093
998	9000	81096
999	9010	81094
1000	9020	81090
1001	9030	81095
1002	9040	81094
1003	9051	81102
1004	9061	81103
1005	9071	81100
1006	9080	81096
1007	9089	81084
1008	9099	81080
1009	9108	81070
1010	9117	81065
1011	9128	81071
1012	9140	81093
1013	9152	81110
1014	9163	81121
1015	9172	81111
1016	9182	81104
1017	9190	81091
1018	9199	81083
1019	9208	81067
1020	9216	81049
1021	9224	81032
1022	9232	81019
1023	9242	81012
1024	9251	81006
1025	9260	80999
1026	9270	80993
1027	9279	80986
1028	9288	80979
1029	9297	80966
1030	9305	80953
1031	9314	80943
1032	9323	80928
1033	9331	80915
1034	9339	80900
1035	9348	80887
1036	9357	80876
1037	9366	80869
1038	9374	80855
1039	9383	80842
1040	9392	80831
1041	9401	80819
1042	9409	80802
1043	9416	80784
1044	9425	80769
1045	9433	80752
1046	9441	80738
1047	9450	80724
1048	9459	80715
1049	9467	80701
1050	9476	80688
1051	9484	80676
1052	9493	80660
1053	9501	80644
1054	9509	80626
1055	9518	80620
1056	9526	80600
1057	9534	80587
1058	9542	80569
1059	9551	80560
1060	9560	80549
1061	9569	80542
1062	9578	80530
1063	9587	80516
1064	9595	80499
1065	9603	80483
1066	9611	80468
1067	9620	80457
1068	9629	80446
1069	9637	80431
1070	9645	80414
1071	9655	80410
1072	9664	80401
1073	9673	80398
1074	9683	80394
1075	9692	80386
1076	9701	80378
1077	9710	80366
1078	9719	80361
1079	9728	80353
1080	9738	80350
1081	9748	80347
1082	9756	80335
1083	9767	80334
1084	9776	80326
1085	9785	80319
1086	9794	80311
1087	9803	80300
1088	9812	80289
1089	9820	80275
1090	9829	80263
1091	9838	80257
1092	9847	80247
1093	9855	80233
1094	9864	80225
1095	9873	80210
1096	9881	80195
1097	9891	80197
1098	9900	80185
1099	9908	80168
1100	9917	80158
1101	9925	80139
1102	9933	80128
1103	9941	80107
1104	9949	80095
1105	9958	80079
1106	9967	80070
1107	9975	80052
1108	9983	80041
1109	9992	80028
1110	10001	80017
1111	10008	79999
1112	10017	79983
1113	10025	79967
1114	10033	79949
1115	10041	79933
1116	10048	79914
1117	10057	79900
1118	10065	79885
1119	10073	79864
1120	10081	79849
1121	10089	79831
1122	10097	79819
1123	10106	79809
1124	10114	79794
1125	10122	79774
1126	10129	79753
1127	10137	79732
1128	10145	79715
1129	10153	79698
1130	10161	79684
1131	10169	79667
1132	10177	79652
1133	10185	79632
1134	10193	79614
1135	10200	79594
1136	10208	79576
1137	10216	79559
1138	10224	79545
1139	10232	79528
1140	10240	79512
1141	10249	79498
1142	10257	79485
1143	10266	79472
1144	10274	79459
1145	10283	79450
1146	10291	79437
1147	10300	79422
1148	10308	79404
1149	10316	79389
